Received_data:aa55230000045dfc615c; usetime/send:531.0001373291016 ms
Received_data:aa55230000045dfc615c; usetime/send:536.9999408721924 ms
Received_data:aa55230000045dfc615c; usetime/send:552.0000457763672 ms
Received_data:aa55230000045dfc615c; usetime/send:554.999828338623 ms
Received_data:aa55230000045dfc615c; usetime/send:564.9998188018799 ms
Received_data:aa55230000045dfc615c; usetime/send:574.0001201629639 ms
Received_data:aa55230000045dfc615c; usetime/send:582.9997062683105 ms
Received_data:aa55230000045dfc615c; usetime/send:585.0000381469727 ms
Received_data:aa55230000045dfc615c; usetime/send:593.9998626708984 ms
Received_data:aa55230000045dfc615c; usetime/send:597.9998111724854 ms
Received_data:aa55230000045dfc615c; usetime/send:606.0001850128174 ms
Received_data:aa55230000045dfc615c; usetime/send:607.0001125335693 ms
Received_data:aa55230000045dfc615c; usetime/send:619.999885559082 ms
Received_data:aa55230000045dfc615c; usetime/send:630.000114440918 ms
Received_data:aa55230000045dfc615c; usetime/send:641.0000324249268 ms
Received_data:aa55230000045dfc615c; usetime/send:644.0000534057617 ms
Received_data:aa55230000045dfc615c; usetime/send:647.0000743865967 ms
Received_data:aa55230000045dfc615c; usetime/send:649.0001678466797 ms
Received_data:aa55230000045dfc615c; usetime/send:660.0003242492676 ms
Received_data:aa55230000045dfc615c; usetime/send:665.0002002716064 ms
Received_data:aa55230000045dfc615c; usetime/send:671.9999313354492 ms
Received_data:aa55230000045dfc615c; usetime/send:687.000036239624 ms
Received_data:aa55230000045dfc615c; usetime/send:694.0000057220459 ms
Received_data:aa55230000045dfc615c; usetime/send:700.0000476837158 ms
Received_data:aa55230000045dfc615c; usetime/send:702.9998302459717 ms
Received_data:aa55230000045dfc615c; usetime/send:708.9998722076416 ms
Received_data:aa55230000045dfc615c; usetime/send:713.0000591278076 ms
Received_data:aa55230000045dfc615c; usetime/send:720.9999561309814 ms
Received_data:aa55230000045dfc615c; usetime/send:721.0001945495605 ms
Received_data:aa55230000045dfc615c; usetime/send:733.9999675750732 ms
Received_data:aa55230000045dfc615c; usetime/send:736.0000610351562 ms
Received_data:aa55230000045dfc615c; usetime/send:754.000186920166 ms
Received_data:aa55230000045dfc615c; usetime/send:755.000114440918 ms
Received_data:aa55020000045dfc615c; usetime/send:712.0001316070557 ms
Received_data:aa55020000045dfc615c; usetime/send:685.999870300293 ms
Received_data:aa55020000045dfc615c; usetime/send:726.9997596740723 ms
Received_data:aa55020000045dfc615c; usetime/send:687.999963760376 ms
Received_data:aa55020000045dfc615d; usetime/send:722.9998111724854 ms
Received_data:aa55020000045dfc615d; usetime/send:691.00022315979 ms
Received_data:aa55020000045dfc615d; usetime/send:715.9998416900635 ms
Received_data:aa55020000045dfc615d; usetime/send:692.000150680542 ms
Received_data:aa55020000045dfc615d; usetime/send:715.0001525878906 ms
Received_data:aa55020000045dfc615d; usetime/send:684.999942779541 ms
Received_data:aa55020000045dfc615d; usetime/send:707.0000171661377 ms
Received_data:aa55020000045dfc615d; usetime/send:681.999683380127 ms
Received_data:aa55020000045dfc615d; usetime/send:698.0001926422119 ms
Received_data:aa55020000045dfc615d; usetime/send:664.9999618530273 ms
Received_data:aa55020000045dfc615d; usetime/send:695.9998607635498 ms
Received_data:aa55020000045dfc615d; usetime/send:658.9996814727783 ms
Received_data:aa55020000045dfc615d; usetime/send:685.999870300293 ms
Received_data:aa55020000045dfc615d; usetime/send:661.0002517700195 ms
Received_data:aa55020000045dfc615d; usetime/send:674.9999523162842 ms
Received_data:aa55020000045dfc615d; usetime/send:650.0000953674316 ms
Received_data:aa55020000045dfc615d; usetime/send:677.0000457763672 ms
Received_data:aa55020000045dfc615d; usetime/send:651.0000228881836 ms
Received_data:aa55020000045dfc615d; usetime/send:661.0000133514404 ms
Received_data:aa55020000045dfc615d; usetime/send:651.0000228881836 ms
Received_data:aa55020000045dfc615d; usetime/send:661.0000133514404 ms
Received_data:aa55020000045dfc615d; usetime/send:651.0000228881836 ms
Received_data:aa55020000045dfc615d; usetime/send:661.0002517700195 ms
Received_data:aa55020000045dfc615d; usetime/send:649.9998569488525 ms
Received_data:aa55020000045dfc615d; usetime/send:662.9998683929443 ms
Received_data:aa55020000045dfc615d; usetime/send:651.0000228881836 ms
Received_data:aa55020000045dfc615d; usetime/send:662.9998683929443 ms
Received_data:aa55020000045dfc615d; usetime/send:657.0000648498535 ms
Received_data:aa55020000045dfc615d; usetime/send:658.9999198913574 ms
Received_data:aa55020000045dfc615d; usetime/send:648.9999294281006 ms
Received_data:aa55020000045dfc615d; usetime/send:653.0001163482666 ms
Received_data:aa55020000045dfc615d; usetime/send:654.0002822875977 ms
Received_data:aa55020000045dfc615d; usetime/send:655.0002098083496 ms
